x,y,z
0,1,4.0
1,1,3.5
3,1,2.5
4,1,2.0
5,1,1.5
7,1,0.5
8,1,0.0
9,1,-0.5
10,1,-1.0
12,1,-2.0
13,1,-2.5
14,1,-3.0
15,1,-3.5
16,1,-4.0
17,1,-4.5
18,1,-5.0
19,1,-5.5
20,1,-6.0
21,1,-6.5
22,1,-7.0
23,1,-7.5
25,1,-8.5
26,1,-9.0
27,1,-9.5
0,2,3.5
1,2,3.0
3,2,2.0
4,2,1.5
6,2,0.5
7,2,0.0
14,2,-3.5
15,2,-4.0
20,2,-6.5
21,2,-7.0
24,2,-8.5
25,2,-9.0
27,2,-10.0
28,2,-10.5
0,3,3.0
1,3,2.5
3,3,1.5
4,3,1.0
6,3,0.0
7,3,-0.5
8,3,-1.0
9,3,-1.5
10,3,-2.0
14,3,-4.0
15,3,-4.5
20,3,-7.0
21,3,-7.5
24,3,-9.0
25,3,-9.5
27,3,-10.5
28,3,-11.0
0,4,2.5
1,4,2.0
2,4,1.5
3,4,1.0
4,4,0.5
6,4,-0.5
7,4,-1.0
9,4,-2.0
10,4,-2.5
14,4,-4.5
15,4,-5.0
20,4,-7.5
21,4,-8.0
24,4,-9.5
25,4,-10.0
27,4,-11.0
28,4,-11.5
0,5,2.0
1,5,1.5
3,5,0.5
4,5,0.0
7,5,-1.5
8,5,-2.0
9,5,-2.5
14,5,-5.0
15,5,-5.5
20,5,-8.0
21,5,-8.5
25,5,-10.5
26,5,-11.0
27,5,-11.5
0,6,1.5
1,6,1.0
3,6,0.0
4,6,-0.5
5,6,-1.0
14,6,-5.5
15,6,-6.0
20,6,-8.5
21,6,-9.0
12,7,-5.0
13,7,-5.5
14,7,-6.0
15,7,-6.5
18,7,-8.0
19,7,-8.5
20,7,-9.0
21,7,-9.5
