areaType,areaName,areaCode,date,newDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDate
overview,United Kingdom,K02000001,2022-02-08,109,159100
overview,United Kingdom,K02000001,2022-02-07,125,158991
overview,United Kingdom,K02000001,2022-02-06,139,158866
overview,United Kingdom,K02000001,2022-02-05,142,158727
overview,United Kingdom,K02000001,2022-02-04,152,158585
overview,United Kingdom,K02000001,2022-02-03,199,158433
overview,United Kingdom,K02000001,2022-02-02,209,158234
overview,United Kingdom,K02000001,2022-02-01,242,158025
overview,United Kingdom,K02000001,2022-01-31,238,157783
overview,United Kingdom,K02000001,2022-01-30,236,157545
overview,United Kingdom,K02000001,2022-01-29,254,157309
overview,United Kingdom,K02000001,2022-01-28,251,157055
overview,United Kingdom,K02000001,2022-01-27,292,156804
overview,United Kingdom,K02000001,2022-01-26,258,156512
overview,United Kingdom,K02000001,2022-01-25,237,156254
overview,United Kingdom,K02000001,2022-01-24,280,156017
overview,United Kingdom,K02000001,2022-01-23,248,155737
overview,United Kingdom,K02000001,2022-01-22,275,155489
overview,United Kingdom,K02000001,2022-01-21,305,155214
overview,United Kingdom,K02000001,2022-01-20,248,154909
overview,United Kingdom,K02000001,2022-01-19,276,154661
overview,United Kingdom,K02000001,2022-01-18,278,154385
overview,United Kingdom,K02000001,2022-01-17,291,154107
overview,United Kingdom,K02000001,2022-01-16,289,153816
overview,United Kingdom,K02000001,2022-01-15,289,153527
overview,United Kingdom,K02000001,2022-01-14,272,153238
overview,United Kingdom,K02000001,2022-01-13,285,152966
overview,United Kingdom,K02000001,2022-01-12,254,152681
overview,United Kingdom,K02000001,2022-01-11,266,152427
overview,United Kingdom,K02000001,2022-01-10,277,152161
overview,United Kingdom,K02000001,2022-01-09,267,151884
overview,United Kingdom,K02000001,2022-01-08,239,151617
overview,United Kingdom,K02000001,2022-01-07,249,151378
overview,United Kingdom,K02000001,2022-01-06,254,151129
overview,United Kingdom,K02000001,2022-01-05,212,150875
overview,United Kingdom,K02000001,2022-01-04,217,150663
overview,United Kingdom,K02000001,2022-01-03,178,150446
overview,United Kingdom,K02000001,2022-01-02,175,150268
overview,United Kingdom,K02000001,2022-01-01,180,150093
overview,United Kingdom,K02000001,2021-12-31,168,149913
overview,United Kingdom,K02000001,2021-12-30,190,149745
overview,United Kingdom,K02000001,2021-12-29,123,149555
overview,United Kingdom,K02000001,2021-12-28,167,149432
overview,United Kingdom,K02000001,2021-12-27,140,149265
overview,United Kingdom,K02000001,2021-12-26,117,149125
overview,United Kingdom,K02000001,2021-12-25,103,149008
overview,United Kingdom,K02000001,2021-12-24,127,148905
overview,United Kingdom,K02000001,2021-12-23,130,148778
overview,United Kingdom,K02000001,2021-12-22,126,148648
overview,United Kingdom,K02000001,2021-12-21,100,148522
overview,United Kingdom,K02000001,2021-12-20,122,148422
overview,United Kingdom,K02000001,2021-12-19,100,148300
overview,United Kingdom,K02000001,2021-12-18,108,148200
overview,United Kingdom,K02000001,2021-12-17,128,148092
overview,United Kingdom,K02000001,2021-12-16,106,147964
overview,United Kingdom,K02000001,2021-12-15,112,147858
overview,United Kingdom,K02000001,2021-12-14,129,147746
overview,United Kingdom,K02000001,2021-12-13,101,147617
overview,United Kingdom,K02000001,2021-12-12,120,147516
overview,United Kingdom,K02000001,2021-12-11,95,147396
overview,United Kingdom,K02000001,2021-12-10,104,147301
overview,United Kingdom,K02000001,2021-12-09,125,147197
overview,United Kingdom,K02000001,2021-12-08,112,147072
overview,United Kingdom,K02000001,2021-12-07,121,146960
overview,United Kingdom,K02000001,2021-12-06,138,146839
overview,United Kingdom,K02000001,2021-12-05,111,146701
overview,United Kingdom,K02000001,2021-12-04,146,146590
overview,United Kingdom,K02000001,2021-12-03,129,146444
overview,United Kingdom,K02000001,2021-12-02,107,146315
overview,United Kingdom,K02000001,2021-12-01,125,146208
overview,United Kingdom,K02000001,2021-11-30,96,146083
overview,United Kingdom,K02000001,2021-11-29,122,145987
overview,United Kingdom,K02000001,2021-11-28,118,145865
overview,United Kingdom,K02000001,2021-11-27,107,145747
overview,United Kingdom,K02000001,2021-11-26,132,145640
overview,United Kingdom,K02000001,2021-11-25,137,145508
overview,United Kingdom,K02000001,2021-11-24,116,145371
overview,United Kingdom,K02000001,2021-11-23,143,145255
overview,United Kingdom,K02000001,2021-11-22,118,145112
overview,United Kingdom,K02000001,2021-11-21,105,144994
overview,United Kingdom,K02000001,2021-11-20,130,144889
overview,United Kingdom,K02000001,2021-11-19,124,144759
overview,United Kingdom,K02000001,2021-11-18,136,144635
overview,United Kingdom,K02000001,2021-11-17,126,144499
overview,United Kingdom,K02000001,2021-11-16,152,144373
overview,United Kingdom,K02000001,2021-11-15,174,144221
overview,United Kingdom,K02000001,2021-11-14,126,144047
overview,United Kingdom,K02000001,2021-11-13,135,143921
overview,United Kingdom,K02000001,2021-11-12,149,143786
overview,United Kingdom,K02000001,2021-11-11,143,143637
overview,United Kingdom,K02000001,2021-11-10,148,143494
overview,United Kingdom,K02000001,2021-11-09,149,143346
overview,United Kingdom,K02000001,2021-11-08,156,143197
overview,United Kingdom,K02000001,2021-11-07,166,143041
overview,United Kingdom,K02000001,2021-11-06,168,142875
overview,United Kingdom,K02000001,2021-11-05,158,142707
overview,United Kingdom,K02000001,2021-11-04,156,142549
overview,United Kingdom,K02000001,2021-11-03,165,142393
overview,United Kingdom,K02000001,2021-11-02,158,142228
overview,United Kingdom,K02000001,2021-11-01,177,142070
overview,United Kingdom,K02000001,2021-10-31,188,141893
overview,United Kingdom,K02000001,2021-10-30,169,141705
overview,United Kingdom,K02000001,2021-10-29,171,141536
overview,United Kingdom,K02000001,2021-10-28,193,141365
overview,United Kingdom,K02000001,2021-10-27,161,141172
overview,United Kingdom,K02000001,2021-10-26,164,141011
overview,United Kingdom,K02000001,2021-10-25,133,140847
overview,United Kingdom,K02000001,2021-10-24,152,140714
overview,United Kingdom,K02000001,2021-10-23,165,140562
overview,United Kingdom,K02000001,2021-10-22,136,140397
overview,United Kingdom,K02000001,2021-10-21,157,140261
overview,United Kingdom,K02000001,2021-10-20,154,140104
overview,United Kingdom,K02000001,2021-10-19,128,139950
overview,United Kingdom,K02000001,2021-10-18,127,139822
overview,United Kingdom,K02000001,2021-10-17,129,139695
overview,United Kingdom,K02000001,2021-10-16,133,139566
overview,United Kingdom,K02000001,2021-10-15,139,139433
overview,United Kingdom,K02000001,2021-10-14,149,139294
overview,United Kingdom,K02000001,2021-10-13,120,139145
overview,United Kingdom,K02000001,2021-10-12,115,139025
overview,United Kingdom,K02000001,2021-10-11,125,138910
overview,United Kingdom,K02000001,2021-10-10,96,138785
overview,United Kingdom,K02000001,2021-10-09,117,138689
overview,United Kingdom,K02000001,2021-10-08,120,138572
overview,United Kingdom,K02000001,2021-10-07,123,138452
overview,United Kingdom,K02000001,2021-10-06,103,138329
overview,United Kingdom,K02000001,2021-10-05,120,138226
overview,United Kingdom,K02000001,2021-10-04,103,138106
overview,United Kingdom,K02000001,2021-10-03,96,138003
overview,United Kingdom,K02000001,2021-10-02,110,137907
overview,United Kingdom,K02000001,2021-10-01,129,137797
overview,United Kingdom,K02000001,2021-09-30,113,137668
overview,United Kingdom,K02000001,2021-09-29,125,137555
overview,United Kingdom,K02000001,2021-09-28,108,137430
overview,United Kingdom,K02000001,2021-09-27,116,137322
overview,United Kingdom,K02000001,2021-09-26,97,137206
overview,United Kingdom,K02000001,2021-09-25,125,137109
overview,United Kingdom,K02000001,2021-09-24,125,136984
overview,United Kingdom,K02000001,2021-09-23,139,136859
overview,United Kingdom,K02000001,2021-09-22,151,136720
overview,United Kingdom,K02000001,2021-09-21,121,136569
overview,United Kingdom,K02000001,2021-09-20,137,136448
overview,United Kingdom,K02000001,2021-09-19,126,136311
overview,United Kingdom,K02000001,2021-09-18,123,136185
overview,United Kingdom,K02000001,2021-09-17,177,136062
overview,United Kingdom,K02000001,2021-09-16,152,135885
overview,United Kingdom,K02000001,2021-09-15,144,135733
overview,United Kingdom,K02000001,2021-09-14,154,135589
overview,United Kingdom,K02000001,2021-09-13,110,135435
overview,United Kingdom,K02000001,2021-09-12,143,135325
overview,United Kingdom,K02000001,2021-09-11,139,135182
overview,United Kingdom,K02000001,2021-09-10,146,135043
overview,United Kingdom,K02000001,2021-09-09,166,134897
overview,United Kingdom,K02000001,2021-09-08,141,134731
overview,United Kingdom,K02000001,2021-09-07,155,134590
overview,United Kingdom,K02000001,2021-09-06,139,134435
overview,United Kingdom,K02000001,2021-09-05,158,134296
overview,United Kingdom,K02000001,2021-09-04,134,134138
overview,United Kingdom,K02000001,2021-09-03,147,134004
overview,United Kingdom,K02000001,2021-09-02,129,133857
overview,United Kingdom,K02000001,2021-09-01,118,133728
overview,United Kingdom,K02000001,2021-08-31,116,133610
overview,United Kingdom,K02000001,2021-08-30,107,133494
overview,United Kingdom,K02000001,2021-08-29,129,133387
overview,United Kingdom,K02000001,2021-08-28,126,133258
overview,United Kingdom,K02000001,2021-08-27,127,133132
overview,United Kingdom,K02000001,2021-08-26,116,133005
