,album_id,album_name,id,name,release_date,duration,track_number,popularity,explicit,uri
0,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],4WUepByoeqcedHoYhSNHRt,Welcome To New York (Taylor's Version),2023-10-27,00:03:32,1,71,False,spotify:track:4WUepByoeqcedHoYhSNHRt
1,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],0108kcWLnn2HlH2kedi1gn,Blank Space (Taylor's Version),2023-10-27,00:03:51,2,72,False,spotify:track:0108kcWLnn2HlH2kedi1gn
2,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],3Vpk1hfMAQme8VJ0SNRSkd,Style (Taylor's Version),2023-10-27,00:03:51,3,73,False,spotify:track:3Vpk1hfMAQme8VJ0SNRSkd
3,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],1OcSfkeCg9hRC2sFKB4IMJ,Out Of The Woods (Taylor's Version),2023-10-27,00:03:55,4,72,False,spotify:track:1OcSfkeCg9hRC2sFKB4IMJ
4,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],2k0ZEeAqzvYMcx9Qt5aClQ,All You Had To Do Was Stay (Taylor's Version),2023-10-27,00:03:13,5,70,False,spotify:track:2k0ZEeAqzvYMcx9Qt5aClQ
5,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],50yNTF0Od55qnHLxYsA5Pw,Shake It Off (Taylor's Version),2023-10-27,00:03:39,6,70,False,spotify:track:50yNTF0Od55qnHLxYsA5Pw
6,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],3FxJDucHWdw6caWTKO5b23,I Wish You Would (Taylor's Version),2023-10-27,00:03:27,7,69,False,spotify:track:3FxJDucHWdw6caWTKO5b23
7,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],7oZONwFiFIErZcXAtTu7FY,Bad Blood (Taylor's Version),2023-10-27,00:03:31,8,69,False,spotify:track:7oZONwFiFIErZcXAtTu7FY
8,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],27exgla7YBw9DUNNcTIpjy,Wildest Dreams (Taylor's Version),2023-10-27,00:03:40,9,70,False,spotify:track:27exgla7YBw9DUNNcTIpjy
9,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],733OhaXQIHY7BKtY3vnSkn,How You Get The Girl (Taylor's Version),2023-10-27,00:04:07,10,69,False,spotify:track:733OhaXQIHY7BKtY3vnSkn
10,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],4WBEj8TeGtRPNJdOmT3WJW,This Love (Taylor’s Version),2023-10-27,00:04:10,11,68,False,spotify:track:4WBEj8TeGtRPNJdOmT3WJW
11,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],1ULabO0PEsdJekqVH6G10G,I Know Places (Taylor's Version),2023-10-27,00:03:15,12,70,False,spotify:track:1ULabO0PEsdJekqVH6G10G
12,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],0lKUBmEyQfzsQHozyeXzES,Clean (Taylor's Version),2023-10-27,00:04:31,13,70,False,spotify:track:0lKUBmEyQfzsQHozyeXzES
