areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
overview,United Kingdom,K02000001,2022-01-29,,16374031
overview,United Kingdom,K02000001,2022-01-28,,16374031
overview,United Kingdom,K02000001,2022-01-27,77983,16374031
overview,United Kingdom,K02000001,2022-01-26,93379,16296048
overview,United Kingdom,K02000001,2022-01-25,97882,16202669
overview,United Kingdom,K02000001,2022-01-24,109830,16104787
overview,United Kingdom,K02000001,2022-01-23,87967,15994957
overview,United Kingdom,K02000001,2022-01-22,70907,15906990
overview,United Kingdom,K02000001,2022-01-21,79574,15836083
overview,United Kingdom,K02000001,2022-01-20,87357,15756509
overview,United Kingdom,K02000001,2022-01-19,97021,15669152
overview,United Kingdom,K02000001,2022-01-18,103063,15572131
overview,United Kingdom,K02000001,2022-01-17,114470,15469068
overview,United Kingdom,K02000001,2022-01-16,84849,15354598
overview,United Kingdom,K02000001,2022-01-15,68311,15269749
overview,United Kingdom,K02000001,2022-01-14,75638,15201438
overview,United Kingdom,K02000001,2022-01-13,84408,15125800
overview,United Kingdom,K02000001,2022-01-12,90163,15041392
overview,United Kingdom,K02000001,2022-01-11,101262,14951229
overview,United Kingdom,K02000001,2022-01-10,116538,14849967
overview,United Kingdom,K02000001,2022-01-09,83175,14733429
overview,United Kingdom,K02000001,2022-01-08,82011,14650254
overview,United Kingdom,K02000001,2022-01-07,105485,14568243
overview,United Kingdom,K02000001,2022-01-06,150946,14462758
overview,United Kingdom,K02000001,2022-01-05,195437,14311812
overview,United Kingdom,K02000001,2022-01-04,245182,14116375
overview,United Kingdom,K02000001,2022-01-03,204213,13871193
overview,United Kingdom,K02000001,2022-01-02,162352,13666980
overview,United Kingdom,K02000001,2022-01-01,106745,13504628
overview,United Kingdom,K02000001,2021-12-31,170744,13397883
overview,United Kingdom,K02000001,2021-12-30,213593,13227139
overview,United Kingdom,K02000001,2021-12-29,246722,13013546
overview,United Kingdom,K02000001,2021-12-28,192837,12766824
overview,United Kingdom,K02000001,2021-12-27,177713,12573987
overview,United Kingdom,K02000001,2021-12-26,106317,12396274
overview,United Kingdom,K02000001,2021-12-25,64690,12289957
overview,United Kingdom,K02000001,2021-12-24,125163,12225267
overview,United Kingdom,K02000001,2021-12-23,145678,12100104
overview,United Kingdom,K02000001,2021-12-22,146586,11954426
overview,United Kingdom,K02000001,2021-12-21,136679,11807840
overview,United Kingdom,K02000001,2021-12-20,122369,11671161
overview,United Kingdom,K02000001,2021-12-19,81854,11548792
overview,United Kingdom,K02000001,2021-12-18,81729,11466938
overview,United Kingdom,K02000001,2021-12-17,87980,11385209
overview,United Kingdom,K02000001,2021-12-16,97406,11297229
overview,United Kingdom,K02000001,2021-12-15,103765,11199823
overview,United Kingdom,K02000001,2021-12-14,95301,11096058
overview,United Kingdom,K02000001,2021-12-13,81948,11000757
overview,United Kingdom,K02000001,2021-12-12,50575,10918809
overview,United Kingdom,K02000001,2021-12-11,46562,10868234
overview,United Kingdom,K02000001,2021-12-10,50415,10821672
overview,United Kingdom,K02000001,2021-12-09,54821,10771257
overview,United Kingdom,K02000001,2021-12-08,56667,10716436
overview,United Kingdom,K02000001,2021-12-07,54343,10659769
overview,United Kingdom,K02000001,2021-12-06,57908,10605426
overview,United Kingdom,K02000001,2021-12-05,39955,10547518
overview,United Kingdom,K02000001,2021-12-04,37848,10507563
overview,United Kingdom,K02000001,2021-12-03,44676,10469715
overview,United Kingdom,K02000001,2021-12-02,49251,10425039
overview,United Kingdom,K02000001,2021-12-01,53608,10375788
overview,United Kingdom,K02000001,2021-11-30,54506,10322180
overview,United Kingdom,K02000001,2021-11-29,55037,10267674
overview,United Kingdom,K02000001,2021-11-28,38872,10212637
overview,United Kingdom,K02000001,2021-11-27,32649,10173765
overview,United Kingdom,K02000001,2021-11-26,38550,10141116
overview,United Kingdom,K02000001,2021-11-25,42506,10102566
overview,United Kingdom,K02000001,2021-11-24,45797,10060060
overview,United Kingdom,K02000001,2021-11-23,47263,10014263
overview,United Kingdom,K02000001,2021-11-22,49747,9967000
overview,United Kingdom,K02000001,2021-11-21,36472,9917253
overview,United Kingdom,K02000001,2021-11-20,34627,9880781
overview,United Kingdom,K02000001,2021-11-19,38887,9846154
overview,United Kingdom,K02000001,2021-11-18,43184,9807267
overview,United Kingdom,K02000001,2021-11-17,44977,9764083
overview,United Kingdom,K02000001,2021-11-16,45421,9719106
overview,United Kingdom,K02000001,2021-11-15,49938,9673685
overview,United Kingdom,K02000001,2021-11-14,34782,9623747
overview,United Kingdom,K02000001,2021-11-13,32305,9588965
overview,United Kingdom,K02000001,2021-11-12,37018,9556660
overview,United Kingdom,K02000001,2021-11-11,40201,9519642
overview,United Kingdom,K02000001,2021-11-10,42099,9479441
overview,United Kingdom,K02000001,2021-11-09,41411,9437342
overview,United Kingdom,K02000001,2021-11-08,43278,9395931
overview,United Kingdom,K02000001,2021-11-07,29955,9352653
overview,United Kingdom,K02000001,2021-11-06,26932,9322698
overview,United Kingdom,K02000001,2021-11-05,29716,9295766
overview,United Kingdom,K02000001,2021-11-04,33069,9266050
overview,United Kingdom,K02000001,2021-11-03,35351,9232981
overview,United Kingdom,K02000001,2021-11-02,37274,9197630
overview,United Kingdom,K02000001,2021-11-01,44204,9160356
overview,United Kingdom,K02000001,2021-10-31,34115,9116152
overview,United Kingdom,K02000001,2021-10-30,32993,9082037
overview,United Kingdom,K02000001,2021-10-29,39514,9049044
overview,United Kingdom,K02000001,2021-10-28,40611,9009530
overview,United Kingdom,K02000001,2021-10-27,42249,8968919
overview,United Kingdom,K02000001,2021-10-26,41392,8926670
overview,United Kingdom,K02000001,2021-10-25,46607,8885278
